Role,Question,Answer
admin,How do I view the results or submissions for a specific quiz?,"Go to ""Manage Quizzes"", find the quiz in the list, and click the 'View Results' (eye) icon/button for that quiz. This will show you which students submitted and their scores."
admin,Can I delete a quiz? What happens to submissions?,"Yes, use the 'Delete' icon/button in the ""Manage Quizzes"" list. Deleting a quiz usually removes the quiz itself but **keeps** student submission records for historical purposes, though the quiz details might no longer be linkable. Confirm before deleting."
admin,How do I set a passing score for a quiz?,"When creating or editing a quiz in the form, there should be a field labeled ""Passing Score (%)"". Enter the required percentage (e.g., 70)."
admin,Can students see the correct answers after taking a quiz?,"Currently, the student review page shows their selected answers. Highlighting the correct answers requires ensuring the review data includes that information (which our latest backend route does). The specific highlighting needs to be implemented in the frontend review UI."
admin,Where do I post a new assignment for students?,"Navigate to ""Post Details"" using the sidebar, then select the ""Assignments"" tab. Use the ""New Assignment"" button there to open the creation form."
admin,How do I set a due date for an assignment?,"In the ""New Assignment"" or ""Edit Assignment"" form/modal, there is a ""Due Date"" field. Use the date picker to select the required date. This field is mandatory."
admin,Can I attach a file (like instructions) to an assignment?,"Yes, the assignment form has an optional ""Attach File"" input. You can upload PDF, DOC, or DOCX files there. Students will see a link to download this file."
admin,How do I see which students have submitted an assignment?,"Go to ""Post Details"" > ""Assignments"". Find the assignment in the list and look for a ""View Submissions"" action/button (This feature might still be under development). It should lead to a page listing eligible students and their submission status."
admin,Can I filter assignments by due date?,"Yes, in the ""Manage Assignments"" table, the ""Due Date"" column header should have a date input filter allowing you to see assignments due on a specific date."
admin,How will I grade submitted assignment PDFs?,"The planned ""View Submissions"" page for an assignment should allow you to download the student's submitted PDF, review it, and then provide marks and possibly comments via an input field or button on that page (This grading interface needs to be built)."
admin,How to edit the description or due date of an existing assignment?,"In the ""Manage Assignments"" list (""Post Details"" > ""Assignments""), click the 'Edit' icon for the assignment. This will open a modal/form pre-filled with its data, allowing you to make changes."
admin,"Where can I see how many users are on each plan (Basic, Classic, Pro)?","This information is displayed in the ""User Subscription Plans"" pie chart (or donut chart) on the main Admin Dashboard (""Academic Overview"" section)."
admin,How can I view login activity over time?,"The main Admin Dashboard has a ""Daily Logins"" bar chart. You can use the dropdown to view login counts aggregated by the last 4 days, monthly for the current year, or yearly. Use the arrows to navigate periods in the 'day' view."
admin,Can I download student details as an Excel file?,"Yes, on the main Admin Dashboard page, below the charts, there should be a ""Student Details"" section with a ""Download as Excel"" button. (Note: The backend logic for generating the Excel file needs to be implemented)."
admin,Take me to the quiz management section.,"Navigating you to the ""Test & Result"" section. You can manage quizzes, add new ones, or view results from there."
admin,Where do I manage course PDFs and Videos?,"You can manage course materials in the ""Courses"" section, accessible from the sidebar."
admin,How do I get back to the main admin dashboard?,"Click on the ""Dashboard"" link (usually with a chart icon) in the main sidebar."
admin,I can't find the button to add a new subject.,"Adding subjects is done within the ""Post Details"" section. Click ""Post Details"" in the sidebar, then look for a ""Subjects"" tab (or similar section) where you can manage and add new subjects. (Note: Subject management might need to be built)."
admin,"The table is too wide, how do I see all columns?",The tables are designed to allow horizontal scrolling on smaller screens. Try scrolling the table area left or right.
admin,What's the difference between 'Classic' and 'Pro' student plans?,"'Pro' plan users typically have access to all course materials and quizzes (Basic, Classic, and Pro levels). 'Classic' plan users usually access Basic and Classic level content. 'Basic' users access only Basic content."
admin,Is there a limit to the number of questions in a quiz?,"There isn't a strict technical limit, but creating quizzes with a very large number of questions might affect loading times. Consider breaking very long tests into multiple quizzes."
admin,What happens if a student submits a quiz after the time limit expires?,"The quiz interface has a timer. If the time runs out before the student manually submits, the system should automatically submit whatever answers they have entered up to that point."
admin,Can I schedule a quiz or assignment to become available later?,"Currently, materials, quizzes, and assignments become available based on their 'accessType'. There isn't a specific 'publish date' feature implemented yet. Content is generally available as soon as it's created for the relevant batches."
admin,Can a student take a quiz more than once?,"No, the system is designed to allow only one submission per student per quiz. If they try to access it again, they should see their previous results in review mode."
admin,What's the maximum file size for assignment submissions?,"The system currently has a limit (e.g., 15MB) for uploaded assignment files. Students will see an error if their file exceeds this limit."
admin,Can I reuse questions across different quizzes?,"Currently, questions are created directly within each quiz. There isn't a central question bank feature implemented yet, so you would need to manually copy/paste questions if you want to reuse them."
admin,Do I need to manually create student IDs?,"No, when you register a student with a plan (Basic, Classic, or Pro), the system automatically generates the next sequential ID based on their plan (e.g., Ba1001, Cl1001, Pr1001)."
admin,Can I track student progress through video lessons?,"The platform currently allows uploading and viewing videos, but detailed tracking (like % watched) is not implemented. You can see which videos are available to which plans."
admin,How are batches assigned to students?,"The student's `plan` (Basic, Classic, Pro) assigned during registration currently determines which batch category they belong to and what content they can access. (Note: More complex batch management might be a future feature)."
admin,Where are uploaded files stored?,"Uploaded files (course materials, assignment submissions) are stored securely on the server's file system in designated 'uploads' folders."
admin,Who can access the admin panel?,Only users with the 'admin' role assigned during registration can log in and access the administrative sections of the platform.
